niche,map_id,scenario,best_performance,combination
20000,1,1,4.034532110750772,1
20000,2,1,3.8506038788509467,1
20000,3,1,4.464625425764037,1
20000,4,1,4.006192694125559,1
20000,5,1,4.2214960444925556,1
20000,6,1,4.2596227607839685,1
20000,7,1,4.041911094716995,1
20000,8,1,3.9985791835461995,1
20000,9,1,4.194828387765932,1
20000,10,1,4.015957203713555,1
20000,11,1,4.3411290942835405,1
20000,12,1,4.190784536563453,1
20000,13,1,3.909912464596609,1
20000,14,1,4.086303791474337,1
20000,15,1,4.232126556273914,1
20000,16,1,4.282819850383048,1
20000,17,1,4.403340569644831,1
20000,18,1,3.973590737887547,1
20000,19,1,4.322327122818337,1
20000,20,1,4.095001863829221,1
20000,1,2,3.218172152809766,1
20000,2,2,3.857472631684174,1
20000,3,2,1.656475265411383,1
20000,4,2,1.7683093251082547,1
20000,5,2,2.3980796738686023,1
20000,6,2,2.5915924371660077,1
20000,7,2,0.9986330400495733,1
20000,8,2,1.515878900497279,1
20000,9,2,2.437037103731515,1
20000,10,2,3.888552812701903,1
20000,11,2,1.6211235906289059,1
20000,12,2,2.2027090838525307,1
20000,13,2,1.1863986265978768,1
20000,14,2,1.6143470632314254,1
20000,15,2,1.5080551674292089,1
20000,16,2,2.9554704279930903,1
20000,17,2,3.486118835824539,1
20000,18,2,1.9893761460155677,1
20000,19,2,1.142335245686817,1
20000,20,2,3.590408225856077,1
20000,1,2,2.4348511308004928,2
20000,2,2,3.420969771983339,2
20000,3,2,1.7520151295628215,2
20000,4,2,2.7003250639846095,2
20000,5,2,2.2989582525966044,2
20000,6,2,2.4849056538380245,2
20000,7,2,0.712717018999494,2
20000,8,2,1.645235526266259,2
20000,9,2,1.901331888591287,2
20000,10,2,2.2253526721929378,2
20000,11,2,2.5786093055979875,2
20000,12,2,2.694678002702566,2
20000,13,2,1.6225807756761141,2
20000,14,2,2.1355431838591135,2
20000,15,2,1.8222160701733097,2
20000,16,2,2.4712311999299863,2
20000,17,2,2.8878500006837444,2
20000,18,2,2.081632788723847,2
20000,19,2,2.0044802948831237,2
20000,20,2,2.265216459034566,2
20000,1,2,2.763745879985762,3
20000,2,2,3.2500602147737117,3
20000,3,2,3.0419408066552807,3
20000,4,2,2.7500663381290322,3
20000,5,2,2.908640250070935,3
20000,6,2,2.668381385946373,3
20000,7,2,2.59441453165155,3
20000,8,2,2.5366872802515763,3
20000,9,2,2.724034520849265,3
20000,10,2,3.3932814596141645,3
20000,11,2,2.7699719390010973,3
20000,12,2,3.0002939535617843,3
20000,13,2,3.315211827547852,3
20000,14,2,2.904196277335642,3
20000,15,2,2.34127988113471,3
20000,16,2,2.518948796742274,3
20000,17,2,1.254776283665437,3
20000,18,2,2.8290277959690644,3
20000,19,2,2.8652557570658415,3
20000,20,2,2.9632574873819464,3
20000,1,2,3.5491774629940864,4
20000,2,2,3.982928757330166,4
20000,3,2,3.6353657743750216,4
20000,4,2,3.209256087622633,4
20000,5,2,4.02081482552646,4
20000,6,2,3.297553513212625,4
20000,7,2,3.7612545439534153,4
20000,8,2,3.022657992400047,4
20000,9,2,2.9482780789138863,4
20000,10,2,3.208443955209119,4
