niche,map_id,scenario,best_performance,combination
10000,1,1,4.331299049316678,1
10000,2,1,4.240624973504428,1
10000,3,1,4.445022584990552,1
10000,4,1,4.374156565925434,1
10000,5,1,4.476419569801984,1
10000,6,1,4.396530636957536,1
10000,7,1,4.154751682607435,1
10000,8,1,4.523730952290747,1
10000,9,1,4.040001145404409,1
10000,10,1,4.159553275222361,1
10000,11,1,4.398072157682612,1
10000,12,1,4.464780223589375,1
10000,13,1,4.3468207521306335,1
10000,14,1,4.253476920872966,1
10000,15,1,4.380588130800557,1
10000,16,1,4.030966492586103,1
10000,17,1,4.29080209438966,1
10000,18,1,3.8196648078298274,1
10000,19,1,4.101919063869422,1
10000,20,1,4.181067845706939,1
10000,1,2,2.098267167356172,1
10000,2,2,1.7747482235649068,1
10000,3,2,1.190823450948545,1
10000,4,2,1.942408491213366,1
10000,5,2,0.9192433185650306,1
10000,6,2,0.6873895843928919,1
10000,7,2,2.3566209473170585,1
10000,8,2,2.348441340935712,1
10000,9,2,3.6590972151088317,1
10000,10,2,1.6427685002470682,1
10000,11,2,2.487205208943441,1
10000,12,2,0.9509798590649554,1
10000,13,2,1.7473668487689664,1
10000,14,2,2.2641286838348194,1
10000,15,2,1.3419217248760344,1
10000,16,2,2.9672436419005717,1
10000,17,2,2.872698826154774,1
10000,18,2,1.4119867591076056,1
10000,19,2,1.504853853864961,1
10000,20,2,1.0538053414257598,1
10000,1,2,2.512100274500202,2
10000,2,2,2.9759711646842795,2
10000,3,2,2.1286386996462974,2
10000,4,2,2.3079496291624344,2
10000,5,2,2.291035559713559,2
10000,6,2,3.1524084241798693,2
10000,7,2,2.5505539345163415,2
10000,8,2,2.119808712694055,2
10000,9,2,2.75763869322269,2
10000,10,2,0.8500381932631683,2
10000,11,2,2.753148482487493,2
10000,12,2,2.692869707324813,2
10000,13,2,2.1582232587687042,2
10000,14,2,2.4871600839492736,2
10000,15,2,1.4079778997496626,2
10000,16,2,2.3139175349894328,2
10000,17,2,2.0939137577218676,2
10000,18,2,2.4415342294992164,2
10000,19,2,2.74613103372122,2
10000,20,2,2.8463725635182042,2
10000,1,2,3.720420192729589,3
10000,2,2,3.0186573618677217,3
10000,3,2,3.7575422099774327,3
10000,4,2,3.147255138340392,3
10000,5,2,3.0983786709040255,3
10000,6,2,3.9347474381047207,3
10000,7,2,3.8811040155866516,3
10000,8,2,3.8012611078444456,3
10000,9,2,3.7341191067758057,3
10000,10,2,2.503635693957244,3
10000,11,2,2.62393880208129,3
10000,12,2,2.3595094319744288,3
10000,13,2,3.0682565779529294,3
10000,14,2,2.0404812454099344,3
10000,15,2,2.374042020298249,3
10000,16,2,3.8955147195455933,3
10000,17,2,3.5996452360084343,3
10000,18,2,2.667755788950686,3
10000,19,2,3.4011743128761927,3
10000,20,2,3.0301612131151523,3
10000,1,2,3.025855616153412,4
10000,2,2,3.8788001770270792,4
10000,3,2,3.466490880733203,4
10000,4,2,2.3300472622778496,4
10000,5,2,3.7544140404291415,4
10000,6,2,3.748921197970204,4
10000,7,2,3.8618140303030937,4
10000,8,2,3.7187032142805285,4
10000,9,2,2.4457118693956468,4
10000,10,2,3.169938450500339,4
10000,11,2,3.4802546699554098,4
10000,12,2,2.9069617336548337,4
10000,13,2,3.5620981942981724,4
10000,14,2,3.349587642292817,4
10000,15,2,3.4566697457609696,4
10000,16,2,3.639988783750993,4
10000,17,2,3.575365163055484,4
10000,18,2,3.6490687331406106,4
10000,19,2,3.6758113430117554,4
10000,20,2,3.5658038336555373,4
10000,1,2,3.293605307926346,5
10000,2,2,3.3111243929644942,5
10000,3,2,2.2583009837279477,5
10000,4,2,3.210707412861022,5
10000,5,2,2.696555466296601,5
10000,6,2,2.048783681862733,5
10000,7,2,2.4405204058210614,5
10000,8,2,3.0477251246871537,5
10000,9,2,3.1265947299927923,5
10000,10,2,2.892250393597955,5
10000,11,2,2.710055619410367,5
10000,12,2,2.606489624460589,5
10000,13,2,2.4244743762585816,5
10000,14,2,3.1802839051771246,5
10000,15,2,2.4114548863449015,5
10000,16,2,2.772775570064417,5
10000,17,2,2.3634057666888344,5
10000,18,2,2.2153465937579275,5
10000,19,2,2.7594960071884977,5
10000,20,2,2.17607370174665,5
10000,1,2,1.1945244661931385,6
10000,2,2,1.6401332516063098,6
10000,3,2,2.0016846901286747,6
10000,4,2,0.7535325718073186,6
10000,5,2,0.9017758391046163,6
10000,6,2,1.29141382064172,6
10000,7,2,1.7435581570979344,6
10000,8,2,2.153247960285398,6
10000,9,2,1.7312876979432226,6
10000,10,2,0.9072170114227232,6
10000,11,2,2.2892904524382174,6
10000,12,2,2.01615261299816,6
10000,13,2,2.5234725702428236,6
10000,14,2,3.1770744147319006,6
10000,15,2,1.3350622728548018,6
10000,16,2,3.6548653204581774,6
10000,17,2,1.6954740634543863,6
10000,18,2,1.2727492848105215,6
10000,19,2,1.801919571808336,6
10000,20,2,1.142330883904388,6
10000,1,3,1.6684470684563588,1
10000,2,3,1.7532044415946464,1
10000,3,3,3.5628830028183813,1
10000,4,3,0.7709564808685992,1
10000,5,3,4.0661603695790465,1
10000,6,3,0.8316427153669054,1
10000,7,3,2.3396631600798177,1
10000,8,3,1.928769551396056,1
10000,9,3,1.4354570580801507,1
10000,10,3,2.801788614982474,1
10000,11,3,3.1010209924597194,1
10000,12,3,3.7055005776366463,1
10000,13,3,0.917624687837886,1
10000,14,3,1.0027663112295866,1
10000,15,3,3.0318247997798107,1
10000,16,3,2.1460087547480304,1
10000,17,3,1.3399863382077997,1
10000,18,3,1.111065833601049,1
10000,19,3,0.9477542776960278,1
10000,20,3,2.9596202754985814,1
10000,1,3,1.2793031063827827,2
10000,2,3,2.741697850998366,2
10000,3,3,2.4797559734905303,2
10000,4,3,1.661458918629279,2
10000,5,3,1.1068740130178476,2
10000,6,3,1.7378093551371772,2
10000,7,3,2.6706948499464263,2
10000,8,3,2.539625198157549,2
10000,9,3,2.121901715826463,2
10000,10,3,1.4891104917433746,2
10000,11,3,1.2676340982748613,2
10000,12,3,1.158921583626349,2
10000,13,3,1.8151092143571377,2
10000,14,3,1.5436283296497688,2
10000,15,3,2.252350525373295,2
10000,16,3,2.065166765281744,2
10000,17,3,0.8931580189804734,2
10000,18,3,1.1473838464401651,2
10000,19,3,2.4954421063917867,2
10000,20,3,1.7501813635661854,2
10000,1,3,1.7188961245970023,3
10000,2,3,0.7368178984388108,3
10000,3,3,0.9127511605557328,3
10000,4,3,0.9382496972015919,3
10000,5,3,2.4418664611908705,3
10000,6,3,1.2788809810236248,3
10000,7,3,1.9508917663338567,3
10000,8,3,0.8654463265826399,3
10000,9,3,2.0495909307276583,3
10000,10,3,0.7335626978885933,3
10000,11,3,2.0637690915117264,3
10000,12,3,1.0861073162511432,3
10000,13,3,2.1558062995160627,3
10000,14,3,0.9083090155901444,3
10000,15,3,0.8262771640144914,3
10000,16,3,3.3873595297337,3
10000,17,3,0.9542328369998482,3
10000,18,3,1.5146328030757488,3
10000,19,3,0.8909258733013253,3
10000,20,3,1.0620416588531632,3
10000,1,4,0.38012527744960967,1
10000,2,4,0.4201417715687577,1
10000,3,4,0.5437458137208088,1
10000,4,4,0.6953906765833013,1
10000,5,4,1.144027074726014,1
10000,6,4,0.7428505356221072,1
10000,7,4,0.6432462571434848,1
10000,8,4,0.5781791994835936,1
10000,9,4,0.8157632086414298,1
10000,10,4,0.6542762368188423,1
10000,11,4,0.5677417113244244,1
10000,12,4,0.599587407110543,1
10000,13,4,0.705791069996313,1
10000,14,4,0.7895179581639492,1
10000,15,4,0.5974390892634011,1
10000,16,4,0.7724060373197924,1
10000,17,4,0.4162347413557372,1
10000,18,4,0.5899892302819444,1
10000,19,4,0.6819004797940975,1
10000,20,4,0.9899286097844572,1
10000,1,4,1.2033295337960959,2
10000,2,4,1.0183097729108441,2
10000,3,4,1.3996710513933404,2
10000,4,4,1.8058155042480892,2
