niche,map_id,scenario,best_performance,combination
40000,1,1,3.928790060349682,1
40000,2,1,3.796425678838265,1
40000,3,1,4.071667993151481,1
40000,4,1,4.0703995733584994,1
40000,5,1,4.424951263077472,1
40000,6,1,4.1437503855071425,1
40000,7,1,4.232187343883359,1
40000,8,1,4.233942200154878,1
40000,9,1,4.437093967238962,1
40000,10,1,4.04188133891112,1
40000,11,1,4.334220237139619,1
40000,12,1,3.7959345787565733,1
40000,13,1,3.960091198345036,1
40000,14,1,4.315839276513229,1
40000,15,1,4.352068435737757,1
40000,16,1,4.276193067184102,1
40000,17,1,4.24144154890951,1
40000,18,1,3.942266423298243,1
40000,19,1,4.405430156712568,1
40000,20,1,3.8557577899510957,1
40000,1,2,1.5804823886807302,1
40000,2,2,1.000889533992401,1
40000,3,2,1.7876935796614553,1
40000,4,2,2.0996679752316254,1
40000,5,2,2.4181090259889717,1
40000,6,2,1.3683809964354186,1
40000,7,2,0.8521967423256598,1
40000,8,2,4.147565547406987,1
40000,9,2,2.760010825098525,1
40000,10,2,3.304847610366051,1
40000,11,2,0.7453771401911008,1
40000,12,2,1.7595108644980566,1
40000,13,2,1.926369739843241,1
40000,14,2,1.0866070999337083,1
40000,15,2,1.8110018402936308,1
40000,16,2,1.46143426368019,1
40000,17,2,3.8239473315086525,1
40000,18,2,1.1686548392295284,1
40000,19,2,0.3768135018069234,1
40000,20,2,0.7893898748764712,1
40000,1,2,2.849153894554835,2
40000,2,2,2.507431796773399,2
40000,3,2,2.583699100302063,2
40000,4,2,3.233188527652016,2
40000,5,2,3.1358159353401853,2
40000,6,2,1.5703673268555718,2
40000,7,2,2.4895588844900836,2
40000,8,2,1.0656271554722325,2
40000,9,2,2.8419873110578235,2
40000,10,2,2.202034761964647,2
40000,11,2,2.143356910348965,2
40000,12,2,1.014772943550383,2
40000,13,2,1.4655946705264582,2
40000,14,2,2.108656277913191,2
40000,15,2,2.9512117674988003,2
40000,16,2,1.983354358198081,2
40000,17,2,2.747711824903838,2
40000,18,2,2.1742455631642286,2
40000,19,2,2.175171755909726,2
40000,20,2,2.1588796934742547,2
40000,1,2,2.9275200823914624,3
40000,2,2,2.9967123590688742,3
40000,3,2,3.0433499938047572,3
40000,4,2,2.5250041539393058,3
40000,5,2,2.5048350429896065,3
40000,6,2,2.477220388917404,3
40000,7,2,2.4287027951459788,3
40000,8,2,3.344293662801912,3
40000,9,2,3.1975098184146735,3
40000,10,2,2.846246770888828,3
40000,11,2,2.5963046011439577,3
40000,12,2,3.4048432164081093,3
40000,13,2,2.700974971032598,3
40000,14,2,2.5365885058440547,3
40000,15,2,2.0894412794296295,3
40000,16,2,2.4778581657902103,3
40000,17,2,2.378981109600004,3
40000,18,2,2.8468957725105293,3
40000,19,2,3.5976502622328246,3
40000,20,2,3.8245243266762112,3
40000,1,2,3.997818064662222,4
40000,2,2,2.457020971300197,4
40000,3,2,3.1285971017742806,4
40000,4,2,4.166223032868252,4
40000,5,2,2.5803901561272,4
40000,6,2,2.9613440304489775,4
40000,7,2,2.597997673706666,4
40000,8,2,3.1606409539124147,4
40000,9,2,3.805766213203614,4
40000,10,2,2.507604998131461,4
40000,11,2,4.122554923874846,4
40000,12,2,3.1800108305347647,4
40000,13,2,3.5891130976849084,4
40000,14,2,3.7352799202688987,4
40000,15,2,3.0284895195241477,4
40000,16,2,3.222834200817952,4
40000,17,2,4.017956388278202,4
40000,18,2,3.0467641155210115,4
40000,19,2,2.2602925763194968,4
40000,20,2,2.98440745405447,4
40000,1,2,2.49178229773927,5
40000,2,2,2.7673743381379263,5
40000,3,2,3.1419076648745947,5
40000,4,2,2.8649996700909686,5
40000,5,2,1.6152328162393852,5
40000,6,2,2.5849908647408286,5
40000,7,2,3.4279930096534152,5
40000,8,2,2.976630935686478,5
40000,9,2,2.837360504748946,5
40000,10,2,2.2190369750342014,5
40000,11,2,3.107316023345217,5
40000,12,2,2.495338282439172,5
40000,13,2,2.7237564632504614,5
40000,14,2,2.7904382789459987,5
40000,15,2,3.0846915896824245,5
40000,16,2,3.0858021864536878,5
40000,17,2,3.5556356044190887,5
40000,18,2,3.0668259550063475,5
40000,19,2,1.9811918479901258,5
40000,20,2,2.322550096794384,5
40000,1,2,1.368610384885235,6
40000,2,2,2.6913454367991707,6
40000,3,2,1.7505923782038189,6
40000,4,2,2.805957848067688,6
40000,5,2,1.8974947505676643,6
40000,6,2,1.4900525906744964,6
40000,7,2,0.8754974339390947,6
40000,8,2,2.3278023317964602,6
40000,9,2,2.9175907436597526,6
40000,10,2,1.3114935058373227,6
40000,11,2,0.9388169822344571,6
40000,12,2,3.2888040741448106,6
40000,13,2,1.1879715966302475,6
40000,14,2,3.337520295366486,6
40000,15,2,2.906543009606687,6
40000,16,2,1.145780779272893,6
40000,17,2,1.0683324468385913,6
40000,18,2,2.517426485265369,6
40000,19,2,1.262306741563583,6
40000,20,2,1.5458614168185896,6
40000,1,3,1.8549809283551681,1
40000,2,3,2.2040936397143427,1
40000,3,3,2.3309406340329,1
40000,4,3,2.243917661162495,1
40000,5,3,2.1696864318912725,1
40000,6,3,1.630006409288312,1
40000,7,3,2.4400956578478934,1
40000,8,3,2.190188734110506,1
40000,9,3,2.142190558985053,1
40000,10,3,0.9238609972609069,1
40000,11,3,2.7018641065694036,1
40000,12,3,1.324075365099391,1
40000,13,3,1.9341492582553204,1
40000,14,3,1.0798891131120867,1
40000,15,3,1.2318245609776048,1
40000,16,3,2.411530189835192,1
40000,17,3,1.9942878190749511,1
